
							LIST OF STUDENTS HAVING BACKLOGS IN SEMESTER II SUBJECTS


NAME					YEAR			ADMISSION NUMBER				SEM 2 BACKLOGS


Lokesh					1			20001A0501					Chemistry

Archana					1			20001A0504					Python Programming

														Basic Electrical and Electronics

Geetha					1			20001A0506					Environmental Science

Mounika					1			20001A0508					Differential Equations & Transformations

Nithya					2			19001A0502					Python Programming

Charan					3			18001A0504					Environmental Science

Madhu					3			180001A0555					Differential Equations & Transformations

														Python Programming

														Basic Electrical and Electronics

														Chemistry

														Environmental Science

Priya					3			18001A0590					Chemistry

Sana					3			180001A0543					Differential Equations & Transformations

														Python Programming
